Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Ecuador,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,819457.18,3.30E+08,Kg
Nigeria,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,560101.83,3.66E+08,Kg
Netherlands,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,408854.46,1.56E+08,Kg
Malaysia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,279953.02,1.04E+08,Kg
Dominican Rep.,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,203806.9,4.65E+07,Kg
Peru,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,154714.88,5.76E+07,Kg
Dem. Rep. Congo,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,96474.01,5.17E+07,Kg
Belgium,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,68113.74,2.29E+07,Kg
European Union,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,66593.35,2.09E+07,Kg
Indonesia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,56290.21,2.23E+07,Kg
Estonia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,52539.24,1.84E+07,Kg
Germany,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,43227.52,1.34E+07,Kg
Colombia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,29870.17,1.17E+07,Kg
Tanzania,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,28400.63,1.23E+07,Kg
United States of America,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,25094.92,8.55E+06,Kg
Madagascar,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,25003.11,,
Togo,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,14656.1,6.76E+06,Kg
Nicaragua,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,11710.45,7.50E+06,Kg
Philippines,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,11661.65,4.42E+06,Kg
Sao Tome and Principe,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,11361.99,4.05E+06,Kg
United Arab Emirates,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,8109.84,3.13E+06,Kg
Turkey,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,6462.92,1.93E+06,Kg
Italy,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,4118.18,1.31E+06,Kg
Vietnam,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,3385.68,1.24E+06,Kg
Grenada,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,2606.7,770525,Kg
Panama,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,2460.94,664955,Kg
Brazil,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,2246.76,,
Kenya,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,1904.8,475401,Kg
France,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,1807.25,421280,Kg
Switzerland,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,1513.65,222464,Kg
Honduras,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,1234.45,308978,Kg
Costa Rica,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,1229.85,411063,Kg
Congo,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,1215.27,1.47E+06,Kg
Guatemala,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,909.33,229271,Kg
Belize,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,904.14,384533,Kg
Canada,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,899.09,458964,Kg
United Kingdom,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,864.83,223179,Kg
Spain,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,758.84,388001,Kg
Trinidad and Tobago,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,739.72,143099,Kg
India,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,690.53,118476,Kg
Bolivia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,640.59,151173,Kg
Poland,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,541.6,140662,Kg
Singapore,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,306.05,113317,Kg
Samoa,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,288.42,120578,Kg
Czech Republic,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,261.58,23329,Kg
Mexico,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,199.12,56179,Kg
St. Vincent and the Grenadines,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,176.6,20000,Kg
Austria,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,176.01,34800,Kg
Bulgaria,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,158.48,13973,Kg
El Salvador,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,148.91,27566.7,Kg
Jamaica,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,145.87,28650.4,Kg
Belarus,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,117.7,40985,Kg
Thailand,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,59.64,9415.53,Kg
Macedonia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,57.63,23912,Kg
Portugal,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,56.86,3580.24,Kg
Australia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,52.88,6770.83,Kg
Russia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,48.72,6173.85,Kg
Denmark,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,41.12,1663,Kg
Saudi Arabia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,40.67,7500,Kg
Sri Lanka,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,34.47,3914.11,Kg
New Zealand,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,28.72,2606,Kg
Hungary,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,27.19,2695.59,Kg
Slovenia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,21.45,1270.51,Kg
Luxembourg,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,20.87,689.304,Kg
South Africa,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,19.72,1746.06,Kg
Sweden,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,14.92,5479.09,Kg
China,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,14.77,2050,Kg
Kuwait,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,13.64,1650,Kg
Cambodia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,9.18,1860,Kg
Slovakia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,7.62,375,Kg
Israel,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,7,2569.86,Kg
Myanmar,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,6.12,900,Kg
Oman,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,5.67,15174,Kg
Fiji,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,5.65,1220,Kg
Greece,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,5.22,626,Kg
Croatia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,4.11,266.2,Kg
Finland,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,2.2,137.221,Kg
Ukraine,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,2.18,102,Kg
Niger,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,1.88,800,Kg
Romania,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.85,50.9,Kg
Bahrain,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.52,25.2,Kg
Lebanon,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.37,10,Kg
Ireland,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.37,13,Kg
Armenia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.32,36,Kg
Lithuania,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.23,21.65,Kg
Mauritius,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.22,25,Kg
Norway,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.13,11,Kg
South Korea,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.09,9.736,Kg
Occ.Pal.Terr,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.08,28.4778,Kg
Ethiopia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.05,25,Kg
Latvia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.03,1,Kg
Mozambique,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.03,8,Kg
Namibia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.01,2,Kg